,planet_type,radius,orbital_radius,orbital_days,eccentricity,detection_method
4019,Super Earth,1.21 x Earth,0.0418,3.2,0.0,Transit
4020,Super Earth,1.62 x Earth,0.0993,12.1,0.0,Transit
4021,Neptune-like,2.16 x Earth,0.0915,9.9,0.0,Transit
4022,Super Earth,1.11 x Earth,0.0435,3.5,0.0,Transit
4023,Neptune-like,0.47 x Jupiter,0.1916,35.6,0.0,Transit
4024,Neptune-like,0.225 x Jupiter,0.0745,7.4,0.0,Transit
4025,Neptune-like,0.277 x Jupiter,0.1054,17.3,0.0,Transit
4026,Gas Giant,0.96 x Jupiter,0.0781,7.3,0.0,Transit
4027,Neptune-like,0.274 x Jupiter,0.093,9.4,0.0,Transit
4028,Super Earth,1.62 x Earth,0.0533,4.1,0.0,Transit
4029,Neptune-like,0.219 x Jupiter,0.1263,17.4,0.0,Transit
4030,Neptune-like,0.251 x Jupiter,0.1353,18.8,0.0,Transit
4031,Super Earth,1.91 x Earth,0.054,5.7,0.0,Transit
4032,Super Earth,2.01 x Earth,0.116,14.6,0.0,Transit
4033,Super Earth,1.76 x Earth,0.0214,1.3,0.0,Transit
4034,Super Earth,1.26 x Earth,0.0367,2.9,0.0,Transit
4035,Super Earth,1.12 x Earth,0.0219,1.2,0.0,Transit
4036,Super Earth,1.36 x Earth,0.019,1,0.0,Transit
4037,Neptune-like,0.221 x Jupiter,0.1019,12.1,0.0,Transit
4038,Super Earth,1.69 x Earth,0.0547,4.8,0.0,Transit
4039,Neptune-like,2.12 x Earth,0.1447,20.5,0.0,Transit
4040,Super Earth,1.53 x Earth,0.0785,8.2,0.0,Transit
4041,Neptune-like,0.203 x Jupiter,0.2329,41.8,0.0,Transit
4042,Gas Giant,1.05 x Jupiter,0.0818,8.9,0.57,Transit
4043,Neptune-like,0.273 x Jupiter,0.0772,8.7,0.0,Transit
4044,Super Earth,1.48 x Earth,0.0333,2.5,0.0,Transit
4045,Super Earth,2.03 x Earth,0.0874,10.1,0.0,Transit
4046,Gas Giant,1.131 x Jupiter,0.0493,3.8,0.0,Transit
4047,Super Earth,1.22 x Earth,0.0205,1.2,0.0,Transit
4048,Super Earth,1.64 x Earth,0.0724,7.3,0.0,Transit
4049,Neptune-like,0.217 x Jupiter,0.1754,27.7,0.0,Transit
4050,Neptune-like,0.302 x Jupiter,0.066,6.1,0.0,Transit
4051,Neptune-like,0.592 x Jupiter,0.5874,161.5,0.0,Transit
4052,Super Earth,1.79 x Earth,0.092,11.4,0.0,Transit
4053,Neptune-like,0.261 x Jupiter,0.0778,7.4,0.0,Transit
4054,Super Earth,1.79 x Earth,0.1297,16,0.0,Transit
4055,Gas Giant,1.36 x Jupiter,0.0274,1.5,0.0,Orbital Brightness Modulation
4056,Neptune-like,0.205 x Jupiter,0.1694,18.9,0.0,Transit
4057,Super Earth,1.2 x Earth,0.0309,1.5,0.0,Transit
4058,Super Earth,1.4 x Earth,0.0616,4.2,0.0,Transit
4059,Super Earth,1.82 x Earth,0.0843,8.7,0.0,Transit
4060,Super Earth,1.82 x Earth,0.1071,13,0.0,Transit
4061,Super Earth,1.43 x Earth,0.047,3.7,0.0,Transit
4062,Neptune-like,0.283 x Jupiter,0.1114,11.1,0.0,Transit
4063,Super Earth,1.19 x Earth,0.0187,1,0.0,Transit
4064,Super Earth,1.28 x Earth,0.0523,4.9,0.0,Transit
4065,Super Earth,1.47 x Earth,0.0519,5.7,0.0,Transit
4066,Super Earth,1.68 x Earth,0.0453,3.8,0.0,Transit
4067,Terrestrial,0.92 x Earth,0.0533,7.1,0.0,Transit
4068,Gas Giant,0.96 x Jupiter,0.04501,3.6,0.0,Transit
4069,Terrestrial,0.89 x Earth,0.015,0.7,0.0,Transit
4070,Neptune-like,0.258 x Jupiter,0.1019,13.2,0.0,Transit
4071,Neptune-like,0.286 x Jupiter,0.5444,158.7,0.0,Transit
4072,Terrestrial,0.78 x Earth,0.0491,4.3,0.0,Transit
4073,Neptune-like,0.208 x Jupiter,0.0684,7.1,0.0,Transit
4074,Super Earth,1.58 x Earth,0.1967,31.6,0.0,Transit
4075,Gas Giant,1.162 x Jupiter,0.025,2,0.0,Transit
4076,Neptune-like,0.217 x Jupiter,0.2548,53.5,0.0,Transit
4077,Super Earth,1.28 x Earth,0.0159,0.9,0.0,Transit
